filename,start,end,content,techniques,persuasion_strategies,Attack_on_Reputation,Justification,Distraction,Simplification,Call,Manipulative_Wording
pl_hate_speech_act_19_12_2024_n08.txt,8047,8101,Ciągle pokutuje mit o Polsce jako kraju tolerancyjnym.,"['Appeal_to_Hypocrisy', 'Doubt']",['Attack_on_Reputation'],True,False,False,False,False,False
pl_defence_22_05_2024_n01.txt,3160,3187,Rzeczywiście to jest hańba.,"['Exaggeration-Minimisation', 'Loaded_Language']",['Manipulative_Wording'],False,False,False,False,False,True
pl_current_affairs_09_01_2025_n02.txt,3965,4288,"Posłowie Joanna Borowiak i Anna Gembicka z Klubu Parlamentarnego Prawo i Sprawiedliwość zadadzą pytania w sprawie decyzji generalnego dyrektora ochrony środowiska z grudnia 2024 r. torpedującej budowę stopnia wodnego w Siarzewie, inwestycji zapewnionej przez rząd PiS i gwarantującej bezpieczeństwo przeciwpowodziowe Kujaw.",['Loaded_Language'],['Manipulative_Wording'],False,False,False,False,False,True
pl_eu_03_04_2025_n05.txt,1975,2091,"Zachęcam do tego, żeby na posiedzeniach tej komisji było mniej hipokryzji ze strony pana posła, a więcej współpracy.",['Questioning_the_Reputation'],['Attack_on_Reputation'],True,False,False,False,False,False
pl_defence_07_03_2025_n08.txt,2405,2485,"Co prawda tam klimatyzacji nie ma, ale przynajmniej żołnierze w środku nie giną.",[],[],False,False,False,False,False,False
pl_abortion_11_04_2024_n03.txt,248,316,"Drogie, Szanowne Działaczki Ruchów Kobiecych i Działaczki Aborcyjne!",['Flag_Waving'],['Justification'],False,True,False,False,False,False
pl_defence_07_03_2025_n04.txt,7999,8242,"Dzięki liderstwu ministra obrony narodowej Władysława Kosiniaka-Kamysza tworzona jest nowa europejska polityka bezpieczeństwa, co w praktyce potwierdziła wizyta sekretarza obrony Stanów Zjednoczonych w Polsce. (Poseł Krzysztof Bosak: Litości…)",[],[],False,False,False,False,False,False
pl_defence_22_05_2024_n03.txt,6270,6399,"Dzisiaj jest w pańskiej ręce jedna decyzja jako szefa PSL-u – o wycofaniu konkurencyjnego projektu uchwały, który został złożony…",[],[],False,False,False,False,False,False
pl_abortion_11_04_2024_n04.txt,7653,7724,Witam was serdecznie. (Oklaski) (Poseł Urszula Pasławska: Pozdrawiamy.),[],[],False,False,False,False,False,False
pl_abortion_11_04_2024_n04.txt,455,500,W Polsce jedna kobieta na trzy miała aborcję.,"['Appeal_to_Popularity', 'Repetition']","['Justification', 'Manipulative_Wording']",False,True,False,False,False,True
pl_current_affairs_09_01_2025_n03.txt,594,633,Oczywiście to jest wasza stara śpiewka.,"['Conversation_Killer', 'Loaded_Language', 'Questioning_the_Reputation']","['Attack_on_Reputation', 'Call', 'Manipulative_Wording']",True,False,False,False,True,True
pl_abortion_11_04_2024_n14.txt,3172,3216,Poseł Elżbieta Burkiewicz: Pani Marszałkini!,[],[],False,False,False,False,False,False
pl_defence_22_05_2024_n01.txt,416,554,"A więc, panie ministrze, znaczy się, jest dobrze czy wręcz przeciwnie – używając cytatu z pewnego filmu z klasyki polskiej kinematografii.",[],[],False,False,False,False,False,False
pl_hate_speech_act_19_12_2024_n04.txt,6560,6641,"Zapraszam pana posła Michała Pyrzyka, Polskie Stronnictwo Ludowe – Trzecia Droga.",[],[],False,False,False,False,False,False
pl_eu_03_04_2025_n05.txt,8321,8454,"Przyjęty został również plan działań na rzecz bezpieczeństwa i obrony, który został zaproponowany przez Europejski Bank Inwestycyjny.",[],[],False,False,False,False,False,False
pl_abortion_11_04_2024_n01.txt,3909,3974,Lewica składa ustawę dotyczącą dekryminalizacji pomocy w aborcji.,['False_Dilemma-No_Choice'],['Simplification'],False,False,False,True,False,False
pl_hate_speech_act_19_12_2024_n09.txt,2825,2894,A tu chodzi o zapewnienie ochrony osobom pokrzywdzonym dyskryminacją.,['Appeal_to_Pity'],['Distraction'],False,False,True,False,False,False
pl_eu_03_04_2025_n01.txt,1298,1438,Przedstawiam sprawozdanie Rady Ministrów dla Sejmu i Senatu o aktywności Polski w czasie prezydencji węgierskiej w Radzie Unii Europejskiej.,[],[],False,False,False,False,False,False
